Date,City,State,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc
3/27/90,Brooklyn,New York,,C,0,1,,Wikp,"A black youth was taunted with racial slurs by three white youths in the stairwell of a public school in the Bensonhurst area of Brooklyn. The 14-year-old was then shot and slightly wounded, because he had acted as peacemaker when the same boys had clashed with another black teen the month before.[240]"
5/20/90,Centerville,Tennessee,suburban,HS,1,,,Pah,
8/26/90,Las Vegas,Nevada,urban,HS,1,,,Pah,
9/11/90,San Antonio,Texas,,HS,0,3,,Wikp,"3 students were wounded when gunfire broke out at Sam Houston High School. The incident took place at 11:55 a.m. and was gang related. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. 18-year-old Kenneth Wolford, and two other male students were arrested and charged.[241]"
1/8/91,Richardson,Texas,urban,HS,0,,,Pah,
2/6/91,Donna,Texas,,HS,1,0,,Wikp,15-year-old Raul Calvo shot himself dead while playing Russian roulette inside a biology classroom at Donna High School.[242]
4/23/91,Compton,California,urban,MS,1,,TRUE,Pah,
4/23/91,Compton,California,,MS,1,0,,Wikp,"A teenager aimed and fired a handgun at a security guard who had chased him and three friends off the grounds of Ralph J. Bunche Middle School. He instead killed 11-year-old Alejandro Vargas, a bystander and student at the school.[243]"
9/18/91,Crosby,Texas,rural,HS,1,,TRUE,Pah,
9/18/91,Crosby,Texas,,HS,1,0,,Wikp,"17-year-old Arthur Jermel Jack, was killed by 15-year-old LaKeeta Cadoree, in the cafeteria at Crosby High School.[244]"
10/8/91,Bronx,New York,urban,HS,1,,,Pah,
11/1/91,Iowa City,Iowa,urban,C,5,,TRUE,Pah,
11/1/91,Iowa City,Iowa,,C,6,1,,Wikp,"University of Iowa shooting: 28-year-old former graduate student, Gang Lu, killed four members of University of Iowa's faculty and a research student, and seriously wounded another student. 47-year-old professor of physics and astronomy, Christoph K. Goertz, 45-year-old associate professor of physics and astronomy, Robert Alan Smith, 44-year-old chairman of the physics and astronomy department, Dwight R. Nicholson, 56-year-old associate vice president for academic affairs, Dr. Theresa Anne Cleary, shot in the head and died the following day, and 27-year-old research investigator in physics and astronomy, Dr. Shan Linhua. 23-year-old Miya Rodolfo-Sioson, Dr. Cleary's temporary student receptionist in the grievance office, survived but was left paralyzed from the neck down. Lu then shot himself in the head, he died shortly after police arrived.[245][246][247][248]"
11/14/91,Houston,Texas,urban,HS,0,,,Pah,
11/25/91,Brooklyn,New York,urban,HS,1,,TRUE,Pah,
11/25/91,Brooklyn,New York,,HS,1,0,,Wikp,"Thomas Jefferson High School shooting: During an argument between two teens, a stray bullet killed a third, uninvolved 16-year-old student. In 1992, 14-year-old shooter Jason Bentley, was sentenced to three to nine years in prison.[235]"
12/12/91,Kent,Ohio,,C,1,0,,Wikp,"51-year-old custodian, John Frazier, was killed outside a campus auditorium of Kent State University.[249]"
1/29/92,Kent,Ohio,,C,0,1,,Wikp,"26-year-old graduate student, Sarah Smith, was wounded in the chest as she was waiting for her husband to pick her up at Kent State University.[250]"
2/26/92,Brooklyn,New York,urban,HS,2,,TRUE,Pah,
2/26/92,Brooklyn,New York,,HS,2,0,,Wikp,"Thomas Jefferson High School second shooting: 15-year-old Kahlil Sumpter, killed fellow students, 16-year-old Tyrone Sinkler and 17-year-old Ian Moore, on the school's second-floor hallway.[251] In 1993, he was sentenced to between 6⅔ and twenty years in prison. He was released on parole in 1998.[235]"
5/1/92,Olivehurst,California,suburban,HS,4,,TRUE,Pah,
5/1/92,Olivehurst,California,,HS,3,10,,Wikp,"Lindhurst High School shooting: Former student, 20-year-old Eric Houston, killed three students and one teacher, and wounded nine other students and teacher before surrendering to police.[180][235]"
5/14/92,Napa,California,urban,MS,0,,,Pah,
9/11/92,Lincoln,Texas,urban,HS,0,,,Pah,
10/12/92,Lincoln,Nebraska,urban,C,0,,,Pah,
10/12/92,Tucson,Arizona,urban,HS,1,,,Pah,
10/19/92,The Bronx,New York,,HS,0,3,,Wikp,Two 14-year-old girls and a 16-year-old boy were shot at outside a Bronx high school.[252]
11/4/92,Detroit,Michigan,,HS,0,11,,Wikp,"11 students were hit by gunfire during a four-hour period in three separate school incidents, five were hospitalized. Six students at Finney High School were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest, when shots were fired at two Mumford High School students.[253]"
11/10/92,Chicago,Illinois,urban,ES,0,,,Pah,
11/13/92,Houston,Texas,urban,HS,1,,,Pah,
11/16/92,Birmingham,Alabama,urban,HS,1,,,Pah,
11/20/92,Chicago,Illinois,urban,HS,1,,,Pah,
11/23/92,Buffalo,New York,urban,HS,0,,,Pah,
12/3/92,Chicago,Illinois,urban,ES,1,,,Pah,
12/14/92,Great Barrington,Massachusetts,suburban,C,2,,,Pah,
12/14/92,Great Barrington,Massachusetts,,C,2,4,,Wikp,"Wayne Lo, a student at Bard College at Simon's Rock, shot and killed one student and one professor, wounded three students and a security guard. After his rifle jammed, Lo later surrendered to authorities without further incident.[254]"
1/6/93,Brentwood,New York,,HS,0,1,,Wikp,"Brentwood High School. Former student, Matthew Hunter, was shot by two gunmen during a basketball game between Brentwood High School and Sachem High School. The assault was over a dispute about the theft of a gold chain.[255]"
1/8/93,Kinzers,Pennsylvania,rural,HS,1,,,Pah,
1/12/93,Miami,Florida,urban,HS,1,,,Pah,
1/18/93,Grayson,Kentucky,suburban,HS,2,,TRUE,Pah,
1/18/93,Grayson,Kentucky,,HS,2,0,,Wikp,"East Carter High School shooting: 17-year-old Scott Pennington, a student at East Carter High School, fatally shot his 48-year-old English teacher, Deanna McDavid, and 52-year-old head custodian, Marvin Hicks.[256]"
1/21/93,Los Angeles,California,urban,HS,1,,,Pah,
2/1/93,Redmond,Washington,urban,MS,1,,,Pah,
2/1/93,Amityville,New York,suburban,HS,1,,,Pah,
2/4/93,Clayton County,Georgia,urban,HS,1,,,Pah,
2/8/93,Middle River,Minnesota,rural,MS,1,,,Pah,
2/8/93,Washington DC,District of Columbia,urban,HS,1,,,Pah,
2/18/93,Dallas,Texas,urban,HS,1,,,Pah,
2/22/93,Los Angeles,California,urban,HS,1,,TRUE,Pah,
2/22/93,Los Angeles,California,,HS,1,0,,Wikp,"15-year-old Robert Heard, fatally shot 17-year-old Michael Shean Ensley in the corridor of the Reseda High School's science building.[257]"
2/26/93,Gloucester,Massachusetts,suburban,HS,0,,,Pah,
3/18/93,Harlem,Georgia,suburban,HS,1,,,Pah,
3/25/93,St. Louis,Missouri,urban,HS,1,,,Pah,
4/3/93,Sacramento,California,urban,HS,1,,,Pah,
4/14/93,Irving,Texas,urban,HS,1,,,Pah,
4/15/93,Acushnet,Massachusetts,suburban,MS,1,,TRUE,Pah,
4/15/93,Acushnet,Massachusetts,,MS,1,0,,Wikp,44-year-old David Taber entered Ford Middle School and took three hostages. He killed school nurse Carol Day. He was found not guilty of the murder by reason of insanity.[235]
4/16/93,Sacramento,California,urban,HS,1,,,Pah,
4/26/93,Raleigh,North Carolina,urban,HS,1,,,Pah,
5/14/93,Irving,Texas,,HS,1,0,,Wikp,"17-year-old Max Alexander Martinez, killed 17-year-old Jose Balderas, with a .38 caliber revolver in a hallway in Nimitz High School during a dispute over girls.[258][259]"
5/24/93,Red Hill,Pennsylvania,rural,HS,1,,,Pah,
5/24/93,Pennsburg,Pennsylvania,,HS,1,0,,Wikp,15-year-old student Jason Smith killed another student who had bullied him at Upper Perkiomen High School. He was charged as an adult and sentenced to between twelve and twenty-five years in prison.[235][260]
5/27/93,New Orleans,Louisiana,urban,HS,1,,,Pah,
7/8/93,Ogden,Utah,urban,C,1,,,Pah,
8/31/93,Atlanta,Georgia,urban,HS,1,,,Pah,
9/2/93,Dallas,Texas,urban,HS,1,,,Pah,
9/17/93,Sheridan,Wyoming,,MS,1,4,,Wikp,"29-year-old Kevin Newman, wounded four students before killing himself at Central Junior High School.[261]"
9/18/93,Sheridan,Wyoming,suburban,MS,1,,TRUE,Pah,
10/12/93,New Castle,Delaware,suburban,HS,1,,,Pah,
